Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",41,19,20,58,111,31,56,64,,,,,
"$2,000,000 to $4,999,999  .......................................................",10,24,12,20,54,10,21,51,,,,,
"$5,000,000 to $9,999,999  .......................................................",1,7,2,10,18,2,8,11,,,,,
"$10,000,000 or more  ..............................................................",7,10,-,1,5,1,7,6,,,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","196,572","356,555","318,822","240,294","392,408","124,880","406,766","345,073",,,,,
"Proportion in farms  ........................................... percent, 2012",62,46.5,15.9,67.4,61.8,42.3,27.2,42.7,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,32,20,11,35,72,11,33,38,,,,,
acres,198,96,66,193,426,50,164,192,,,,,
10 to 49 acres  ................................................................ farms,265,165,82,318,524,80,333,264,,,,,
acres,"7,377","4,723",(D),"8,864","14,382",(D),(D),"7,017",,,,,
50 to 69 acres  ................................................................ farms,98,55,33,119,146,40,97,80,,,,,
acres,"5,598","3,164","1,956","6,964","8,494","2,340","5,641","4,658",,,,,
70 to 99 acres  ................................................................ farms,103,52,24,107,149,31,123,80,,,,,
acres,"8,520","4,358","1,951","8,779","12,345","2,629","10,143","6,529",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,140,82,30,91,157,48,80,73,,,,,
acres,"16,267","9,499","3,447","10,360","18,455","5,633","9,382","8,527",,,,,
140 to 179 acres  ............................................................ farms,71,55,15,74,118,18,64,37,,,,,
acres,"11,075","8,591","2,363","11,651","18,409","2,856","9,763","5,851",,,,,
180 to 219 acres  ............................................................ farms,45,28,12,65,79,8,26,40,,,,,
acres,"8,874","5,495","2,358","12,882","15,633","1,570","5,192","8,056",,,,,
220 to 259 acres  ............................................................ farms,30,16,15,37,49,13,24,42,,,,,
acres,"7,173","3,803","3,506","8,806","11,582","3,163","5,826","9,993",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,67,60,34,124,124,51,57,68,,,,,
acres,"23,136","20,677","11,482","42,749","44,243","17,033","19,560","23,023",,,,,
500 to 999 acres  ............................................................ farms,16,24,16,37,58,15,19,37,,,,,
acres,"10,500","16,515","10,097","24,547","39,413","10,124","12,790","23,830",,,,,
"1,000 to 1,999 acres  ...................................................... farms",8,17,6,15,32,1,15,18,,,,,
acres,"10,658","23,023","7,056","17,628","42,900",(D),"21,367","23,839",,,,,
"2,000 acres or more ....................................................... farms",4,18,2,3,5,1,1,6,,,,,
acres,"12,484","66,002",(D),"8,650","16,182",(D),(D),"25,856",,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,63,44,35,106,119,26,32,49,,,,,
acres,(D),175,164,603,653,164,189,274,,,,,
10 to 49 acres  ................................................................ farms,372,205,130,304,602,133,431,279,,,,,
acres,"9,914","5,957","3,567","8,270","15,437","3,683","11,579","7,214",,,,,
50 to 69 acres  ................................................................ farms,147,74,47,115,167,36,108,92,,,,,
acres,"8,666","4,227","2,797","6,793","9,602","2,050","6,229","5,306",,,,,
70 to 99 acres  ................................................................ farms,104,81,45,108,193,26,98,87,,,,,
acres,"8,565","7,015","3,705","8,981","16,123","2,161","7,939","7,260",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,99,60,30,119,159,30,82,74,,,,,
acres,"11,541","6,854","3,427","13,822","18,389","3,465","9,560","8,710",,,,,
140 to 179 acres  ............................................................ farms,69,55,31,63,99,28,56,59,,,,,
acres,"10,726","8,636","4,748","10,030","15,413","4,508","8,590","9,245",,,,,
180 to 219 acres  ............................................................ farms,63,29,13,60,82,20,39,34,,,,,
acres,"12,340","5,680","2,578","11,761","16,154","3,971","7,591","6,670",,,,,
220 to 259 acres  ............................................................ farms,33,26,9,39,59,9,19,33,,,,,
acres,"7,845","6,290",(D),"9,218","13,945",(D),"4,564","7,874",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,80,53,38,110,141,44,48,88,,,,,
acres,"26,221","18,971","13,495","36,521","49,718","14,436","16,904","31,956",,,,,
500 to 999 acres  ............................................................ farms,25,44,9,42,52,13,17,50,,,,,
acres,"16,424","29,042","6,217","27,041","34,815","8,409","12,317","35,317",,,,,
"1,000 to 1,999 acres  ...................................................... farms",10,18,4,9,17,1,5,10,,,,,
acres,"12,979","25,821","5,390","11,586","21,126",(D),"7,108","13,397",,,,,
"2,000 acres or more ....................................................... farms",1,17,1,3,6,1,-,7,,,,,
acres,(D),"58,422",(D),"6,957","15,029",(D),-,"18,238",,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",690,483,200,728,"1,039",252,668,570,,,,,
2007,866,599,254,758,"1,258",288,696,687,,,,,
"acres, 2012","47,627","117,891","22,028","62,486","90,148","20,041","48,108","77,103",,,,,
2007,"55,364","134,447","24,749","63,086","107,344","21,331","43,646","87,812",,,,,
"Harvested cropland .................................................. farms, 2012",634,315,187,669,942,232,604,508,,,,,
2007,736,353,193,596,"1,000",227,546,533,,,,,
"acres, 2012","38,009","101,366","18,932","50,610","75,406","14,009","40,753","67,256",,,,,
2007,"30,913","101,248","16,085","39,613","64,383","12,023","26,987","59,925",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",107,37,25,107,125,24,87,79,,,,,
2007,348,160,94,281,458,127,265,272,,,,,
"acres, 2012","6,217","6,302","2,262","8,917","8,781","4,455","4,621","5,565",,,,,
2007,"18,723","14,832","6,830","17,540","33,072","6,626","12,898","20,255",,,,,
Item,Moore,Morgan,Obion,Overton,Perry,,Pickett,Polk,,Putnam,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",358,413,568,922,246,,316,255,,898,,,
2007,346,407,693,"1,009",257,,365,305,,"1,069",,,
"Land in farms  .............................................................. acres, 2012","58,699","55,475","252,815","123,077","47,691",,"41,791","35,560",,"95,679",,,
2007,"51,814","53,335","251,844","114,800","50,884",,"37,916","32,397",,"103,679",,,
"Average size of farm  ........................................... acres, 2012",164,134,445,133,194,,132,139,,107,,,
2007,150,131,363,114,198,,104,106,,97,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",358,413,568,922,246,,316,255,,898,,,
2007,346,407,693,"1,009",257,,365,305,,"1,069",,,
"$1,000, 2012","207,118","190,088","805,432","399,977","94,467",,"121,384","158,965",,"414,220",,,
2007,"170,043","154,080","642,008","372,811","107,688",,"131,809","151,132",,"431,367",,,
"Average per farm ................................................ dollars, 2012","578,542","460,262","1,418,014","433,815","384,014",,"384,128","623,392",,"461,269",,,
2007,"491,455","378,576","926,419","369,485","419,021",,"361,120","495,514",,"403,524",,,
"Average per acre  ................................................ dollars, 2012","3,528","3,427","3,186","3,250","1,981",,"2,905","4,470",,"4,329",,,
2007,"3,282","2,889","2,549","3,247","2,116",,"3,476","4,665",,"4,161",,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................",5,20,52,66,21,,22,15,,47,,,
"$50,000 to $99,999  ................................................................",17,44,65,93,35,,23,17,,78,,,
"$100,000 to $199,999  ............................................................",44,85,117,167,50,,87,39,,187,,,
"$200,000 to $499,999  ............................................................",177,174,140,388,98,,107,97,,335,,,
"$500,000 to $999,999  ............................................................",72,53,79,142,22,,54,56,,173,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................",20,22,41,33,15,,19,13,,54,,,
"$2,000,000 to $4,999,999  ......................................................",21,13,28,27,3,,4,12,,20,,,
"$5,000,000 to $9,999,999  ......................................................",2,1,27,6,2,,-,6,,3,,,
"$10,000,000 or more  ..............................................................",-,1,19,-,-,,-,-,,1,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","82,703","334,193","348,745","277,430","265,439",,"104,307","278,193",,"256,706",,,
"Proportion in farms  ........................................... percent, 2012",71,16.6,72.5,44.4,18,,40.1,12.8,,37.3,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,16,9,14,43,5,,16,12,,59,,,
acres,61,40,75,(D),17,,88,49,,(D),,,
10 to 49 acres  ............................................................... farms,99,127,171,322,43,,92,104,,355,,,
acres,"2,635",(D),"4,586","8,804",(D),,"2,625","2,820",,"9,438",,,
50 to 69 acres  ............................................................... farms,28,47,43,97,31,,33,28,,121,,,
acres,"1,573","2,707","2,469","5,580","1,821",,"1,915","1,639",,"6,911",,,
70 to 99 acres  ............................................................... farms,46,42,43,103,20,,32,21,,93,,,
acres,"3,926","3,559","3,544","8,269","1,598",,"2,707","1,736",,"7,748",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,49,47,63,90,32,,50,24,,77,,,
acres,"5,723","5,362","7,283","10,418","3,578",,"5,611","2,883",,"9,169",,,
140 to 179 acres  ........................................................... farms,18,42,42,85,24,,30,21,,61,,,
acres,"2,769","6,627","6,850","13,336","3,850",,"4,850","3,295",,"9,592",,,
180 to 219 acres  ........................................................... farms,28,25,22,41,14,,8,10,,41,,,
acres,"5,547","4,888","4,360","8,030","2,775",,"1,573","1,994",,"8,038",,,
220 to 259 acres  ........................................................... farms,10,23,17,32,15,,19,6,,20,,,
acres,"2,415","5,430","4,082","7,622","3,611",,"4,620","1,367",,"4,751",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,36,33,59,71,47,,25,12,,43,,,
acres,"12,280","11,463","20,093","25,524","16,349",,"8,182","4,233",,"16,069",,,
500 to 999 acres  ........................................................... farms,25,16,34,26,10,,7,10,,20,,,
acres,"17,450","9,483","23,548","18,762","6,314",,"4,620","7,238",,"13,125",,,
"1,000 to 1,999 acres ...................................................... farms",3,2,27,11,4,,4,7,,7,,,
acres,"4,320",(D),"39,511","14,460","4,464",,"5,000","8,306",,"8,531",,,
"2,000 acres or more  ...................................................... farms",-,-,33,1,1,,-,-,,1,,,
acres,-,-,"136,414",(D),(D),,-,-,,(D),,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,21,24,42,71,3,,38,30,,97,,,
acres,135,148,280,371,8,,(D),167,,574,,,
10 to 49 acres  ............................................................... farms,88,128,231,374,52,,112,123,,420,,,
acres,"2,695","3,608","6,563","10,164","1,378",,"3,014","3,422",,"10,848",,,
50 to 69 acres  ............................................................... farms,29,63,67,113,16,,31,26,,128,,,
acres,"1,749","3,570","3,917","6,523",891,,"1,862","1,536",,"7,248",,,
70 to 99 acres  ............................................................... farms,44,26,77,100,28,,41,38,,123,,,
acres,"3,586","2,194","6,126","8,112","2,389",,"3,414","3,180",,"10,308",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,54,54,40,119,31,,60,31,,85,,,
acres,"6,086","6,198","4,652","13,877","3,643",,"6,723","3,540",,"10,128",,,
140 to 179 acres  ........................................................... farms,25,21,41,58,33,,29,14,,71,,,
acres,"3,872","3,270","6,384","9,106","5,308",,"4,512","2,215",,"11,104",,,
180 to 219 acres  ........................................................... farms,11,19,29,45,19,,21,6,,36,,,
acres,"2,175","3,807","5,650","8,940","3,802",,"4,196","1,181",,"7,057",,,
220 to 259 acres  ........................................................... farms,14,16,11,27,12,,8,9,,19,,,
acres,(D),"3,883","2,629","6,416","2,918",,"1,886",(D),,"4,516",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,44,46,50,70,43,,19,22,,62,,,
acres,"14,584","15,810","17,660","23,859","14,400",,"6,197","8,702",,"21,705",,,
500 to 999 acres  ........................................................... farms,12,7,35,22,14,,2,4,,23,,,
acres,"8,020","4,632","23,553","14,002","8,419",,(D),"3,107",,"14,625",,,
"1,000 to 1,999 acres ...................................................... farms",3,2,33,10,6,,4,2,,5,,,
acres,"3,520",(D),"43,453","13,430","7,728",,"4,777",(D),,"5,566",,,
"2,000 acres or more  ...................................................... farms",1,1,37,-,-,,-,-,,-,,,
acres,(D),(D),"130,977",-,-,,-,-,,-,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  ............................................................. farms, 2012",237,322,471,680,196,,246,182,,642,,,
2007,266,324,589,806,213,,286,215,,804,,,
"acres, 2012","14,802","19,463","211,753","36,114","13,814",,"14,518","16,258",,"31,445",,,
2007,"21,201","20,551","211,745","49,748","19,414",,"17,573","17,780",,"41,208",,,
"Harvested cropland  ................................................. farms, 2012",227,297,349,617,162,,227,161,,584,,,
2007,213,267,415,678,173,,243,170,,657,,,
"acres, 2012","12,904","14,589","198,233","29,881","9,097",,"11,877","13,530",,"22,802",,,
2007,"11,505","12,751","190,202","30,003","9,908",,"9,628","10,363",,"23,163",,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",15,49,44,63,28,,25,19,,87,,,
2007,90,101,122,317,80,,102,86,,270,,,
"acres, 2012","1,287","3,517","4,097","3,786","2,014",,"1,850","1,673",,"6,181",,,
2007,"8,337","5,161","8,393","15,832","5,585",,"6,990","6,029",,"13,657",,,
Item,Rhea,,Roane,Robertson,Rutherford,Scott,,Sequatchie,Sevier,Shelby,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",411,,519,"1,180","1,327",302,,188,603,411,,,
2007,449,,580,"1,408","1,525",261,,232,707,600,,,
"Land in farms  ............................................................... acres, 2012","57,671",,"46,953","209,107","176,213","39,142",,"30,678","55,541","81,860",,,
2007,"56,182",,"52,582","227,298","164,411","31,086",,"28,675","56,449","92,299",,,
"Average size of farm  ............................................ acres, 2012",140,,90,177,133,130,,163,92,199,,,
2007,125,,91,161,108,119,,124,80,154,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",411,,519,"1,180","1,327",302,,188,603,411,,,
2007,449,,580,"1,408","1,525",261,,232,707,600,,,
"$1,000, 2012","201,770",,"238,770","1,018,057","859,546","110,540",,"99,271","329,139","375,376",,,
2007,"201,939",,"223,462","873,544","751,867","97,513",,"97,063","312,054","429,989",,,
"Average per farm  ............................................... dollars, 2012","490,924",,"460,058","862,760","647,736","366,026",,"528,038","545,836","913,325",,,
2007,"449,752",,"385,280","620,415","493,027","373,615",,"418,376","441,378","716,648",,,
"Average per acre  ............................................... dollars, 2012","3,499",,"5,085","4,869","4,878","2,824",,"3,236","5,926","4,586",,,
2007,"3,594",,"4,250","3,843","4,573","3,137",,"3,385","5,528","4,659",,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",21,,22,70,66,18,,11,32,32,,,
"$50,000 to $99,999  .................................................................",43,,31,87,62,38,,23,61,26,,,
"$100,000 to $199,999  .............................................................",82,,94,200,231,51,,28,68,60,,,
"$200,000 to $499,999  .............................................................",144,,233,417,571,142,,72,230,138,,,
"$500,000 to $999,999  .............................................................",76,,89,221,241,29,,26,114,75,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",29,,40,90,80,16,,17,80,41,,,
"$2,000,000 to $4,999,999  .......................................................",14,,6,52,55,8,,11,18,24,,,
"$5,000,000 to $9,999,999  .......................................................",2,,3,30,16,-,,-,-,11,,,
"$10,000,000 or more  ..............................................................",-,,1,13,5,-,,-,-,4,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","201,841",,"230,865","304,825","396,391","340,666",,"170,145","379,211","488,446",,,
"Proportion in farms  ........................................... percent, 2012",28.6,,20.3,68.6,44.5,11.5,,18,14.6,16.8,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,16,,32,85,120,1,,11,28,36,,,
acres,94,,179,478,684,(D),,(D),160,200,,,
10 to 49 acres  ................................................................ farms,149,,206,465,497,92,,63,214,183,,,
acres,(D),,"5,538","12,018","13,449",(D),,"1,758","5,928","4,692",,,
50 to 69 acres  ................................................................ farms,49,,73,126,127,38,,16,87,34,,,
acres,"2,757",,"4,262","7,268","7,274","2,215",,931,"4,939","1,970",,,
70 to 99 acres  ................................................................ farms,51,,61,111,117,39,,32,71,36,,,
acres,"4,270",,"4,963","9,181","9,418","3,316",,"2,657","5,722","3,020",,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,41,,47,122,125,48,,15,80,21,,,
acres,"4,868",,"5,461","14,171","14,666","5,455",,"1,695","9,217","2,577",,,
140 to 179 acres  ............................................................ farms,17,,29,54,88,23,,6,52,27,,,
acres,"2,676",,"4,609","8,303","13,664","3,555",,965,"8,366","4,278",,,
180 to 219 acres  ............................................................ farms,20,,21,32,63,15,,10,28,16,,,
acres,"3,917",,"4,179","6,350","12,268","2,968",,"1,941","5,604","3,170",,,
220 to 259 acres  ............................................................ farms,9,,7,32,28,12,,2,17,5,,,
acres,"2,114",,"1,666","7,680","6,564","2,823",,(D),"4,117","1,207",,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,36,,37,75,101,25,,17,18,21,,,
acres,"12,926",,"12,062","26,232","35,455","9,314",,"6,353","5,813","7,778",,,
500 to 999 acres  ............................................................ farms,18,,6,37,40,7,,11,8,19,,,
acres,"11,307",,"4,034","24,587","28,443","4,418",,"7,681","5,675","13,627",,,
"1,000 to 1,999 acres  ...................................................... farms",4,,-,27,16,2,,5,-,7,,,
acres,"5,699",,-,"36,580","19,951",(D),,"6,177",-,"7,710",,,
"2,000 acres or more ....................................................... farms",1,,-,14,5,-,,-,-,6,,,
acres,(D),,-,"56,259","14,377",-,,-,-,"31,631",,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,12,,29,108,210,6,,33,82,101,,,
acres,46,,158,609,(D),13,,(D),468,526,,,
10 to 49 acres  ................................................................ farms,168,,233,539,594,101,,83,275,248,,,
acres,"4,295",,"6,166","13,824","15,096","2,942",,"2,180","7,765","6,538",,,
50 to 69 acres  ................................................................ farms,54,,71,173,125,16,,21,90,59,,,
acres,"3,105",,"4,108","10,080","7,109",991,,"1,195","5,258","3,305",,,
70 to 99 acres  ................................................................ farms,63,,71,128,137,46,,25,68,41,,,
acres,"5,237",,"5,847","10,636","10,988","3,826",,"2,141","5,633","3,473",,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,44,,59,129,156,23,,23,69,39,,,
acres,"4,999",,"6,655","15,261","18,310","2,634",,"2,543","7,911","4,372",,,
140 to 179 acres  ............................................................ farms,22,,34,64,62,20,,11,48,20,,,
acres,"3,507",,"5,441","10,090","9,548","3,196",,(D),"7,377","3,098",,,
180 to 219 acres  ............................................................ farms,17,,27,56,52,13,,8,21,31,,,
acres,"3,332",,"5,270","10,911","10,272","2,584",,"1,604","4,170","6,016",,,
220 to 259 acres  ............................................................ farms,10,,21,41,24,6,,2,18,14,,,
acres,(D),,"4,994","9,958","5,670","1,418",,(D),"4,298","3,242",,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,38,,28,77,109,22,,15,31,16,,,
acres,"13,065",,"9,160","26,216","36,683","7,703",,"5,440","10,359","5,309",,,
500 to 999 acres  ............................................................ farms,19,,7,42,41,8,,4,5,15,,,
acres,"11,626",,"4,783","28,286","27,376","5,779",,"2,776","3,210","11,958",,,
"1,000 to 1,999 acres  ...................................................... farms",1,,-,41,13,-,,7,-,8,,,
acres,(D),,-,"55,016","16,147",-,,"8,395",-,"10,560",,,
"2,000 acres or more ....................................................... farms",1,,-,10,2,-,,-,-,8,,,
acres,(D),,-,"36,411",(D),-,,-,-,"33,902",,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",324,,365,864,870,248,,130,448,287,,,
2007,351,,425,"1,134","1,018",221,,171,549,380,,,
"acres, 2012","24,437",,"13,981","140,686","70,378","14,938",,"10,003","17,112","60,391",,,
2007,"26,491",,"18,795","160,059","77,912","11,977",,"12,595","22,253","68,704",,,
"Harvested cropland .................................................. farms, 2012",290,,336,787,776,222,,118,420,232,,,
2007,288,,345,957,793,165,,129,451,261,,,
"acres, 2012","19,400",,"11,015","129,883","60,779","9,303",,"7,224","14,242","52,770",,,
2007,"15,240",,"11,923","125,054","52,019","6,034",,"6,361","13,790","54,635",,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",35,,39,99,117,36,,23,46,29,,,
2007,130,,134,373,368,72,,66,180,112,,,
"acres, 2012","3,021",,"1,864","6,131","5,079","3,886",,"2,392","1,366","2,943",,,
2007,"8,111",,"4,926","19,508","18,256","3,622",,"5,231","6,582","7,086",,,
Item,Smith,,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,,Union,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",850,,350,"1,074","1,355",520,290,93,,408,,,
2007,981,,353,"1,280","1,673",610,338,86,,494,,,
"Land in farms  .............................................................. acres, 2012","129,695",,"60,653","84,877","167,175","155,449","41,262","5,424",,"45,227",,,
2007,"127,108",,"55,368","82,104","183,419","170,182","44,006","4,742",,"45,917",,,
"Average size of farm  ........................................... acres, 2012",153,,173,79,123,299,142,58,,111,,,
2007,130,,157,64,110,279,130,55,,93,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",850,,350,"1,074","1,355",520,290,93,,408,,,
2007,981,,353,"1,280","1,673",610,338,86,,494,,,
"$1,000, 2012","344,784",,"159,480","468,996","813,063","461,279","159,013","29,891",,"130,578",,,
2007,"400,767",,"150,029","418,197","741,998","400,038","142,364","34,282",,"168,227",,,
"Average per farm ................................................ dollars, 2012","405,629",,"455,658","436,681","600,047","887,076","548,321","321,412",,"320,045",,,
2007,"408,529",,"425,012","326,716","443,513","655,800","421,195","398,631",,"340,540",,,
"Average per acre  ................................................ dollars, 2012","2,658",,"2,629","5,526","4,864","2,967","3,854","5,511",,"2,887",,,
2007,"3,153",,"2,710","5,094","4,045","2,351","3,235","7,230",,"3,664",,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................",32,,22,87,72,51,8,7,,28,,,
"$50,000 to $99,999  ................................................................",63,,35,93,89,59,25,10,,54,,,
"$100,000 to $199,999  ............................................................",220,,62,250,230,124,55,21,,107,,,
"$200,000 to $499,999  ............................................................",341,,153,399,520,148,137,40,,133,,,
"$500,000 to $999,999  ............................................................",140,,49,157,251,62,36,9,,69,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................",34,,15,43,127,28,23,6,,14,,,
"$2,000,000 to $4,999,999  ......................................................",17,,12,43,51,31,4,-,,3,,,
"$5,000,000 to $9,999,999  ......................................................",2,,2,2,11,12,-,-,,-,,,
"$10,000,000 or more  ..............................................................",1,,-,-,4,5,2,-,,-,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","201,145",,"293,972","264,552","338,789","293,380","73,084","119,146",,"143,071",,,
"Proportion in farms  ........................................... percent, 2012",64.5,,20.6,32.1,49.3,53,56.5,4.6,,31.6,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,31,,9,100,75,32,10,7,,11,,,
acres,163,,40,489,385,144,43,(D),,61,,,
10 to 49 acres  ............................................................... farms,176,,89,523,584,200,85,49,,144,,,
acres,"5,005",,(D),"14,108","15,192","5,856","2,217","1,567",,(D),,,
50 to 69 acres  ............................................................... farms,85,,45,114,138,49,22,13,,52,,,
acres,"4,871",,"2,596","6,503","8,093","2,810","1,283",759,,"3,014",,,
70 to 99 acres  ............................................................... farms,140,,27,97,143,52,47,12,,54,,,
acres,"11,896",,"2,252","7,880","11,653","4,376","3,765","1,016",,"4,389",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,153,,47,95,97,42,31,4,,60,,,
acres,"17,587",,"5,465","11,050","11,294","4,941","3,655",420,,"6,968",,,
140 to 179 acres  ........................................................... farms,64,,34,53,86,30,28,5,,20,,,
acres,"10,071",,"5,188","8,329","13,504","4,836","4,436",(D),,"3,142",,,
180 to 219 acres  ........................................................... farms,51,,18,16,42,17,19,2,,19,,,
acres,"10,084",,"3,513","3,197","8,310","3,294","3,724",(D),,"3,785",,,
220 to 259 acres  ........................................................... farms,40,,22,16,24,10,7,-,,7,,,
acres,"9,473",,"5,260","3,841","5,733","2,367","1,640",-,,"1,735",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,73,,34,41,111,33,28,1,,35,,,
acres,"25,673",,"12,014","13,685","39,416","12,131","10,497",(D),,"13,100",,,
500 to 999 acres  ........................................................... farms,29,,17,13,35,8,10,-,,5,,,
acres,"18,632",,"11,290","8,518","22,019","6,875","6,190",-,,"2,910",,,
"1,000 to 1,999 acres ...................................................... farms",5,,7,6,16,27,3,-,,-,,,
acres,"6,588",,"8,530","7,277","21,646","37,572","3,812",-,,-,,,
"2,000 acres or more  ...................................................... farms",3,,1,-,4,20,-,-,,1,,,
acres,"9,652",,(D),-,"9,930","70,247",-,-,,(D),,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,64,,8,196,136,42,23,11,,43,,,
acres,378,,30,"1,010",840,242,132,(D),,241,,,
10 to 49 acres  ............................................................... farms,321,,94,657,730,230,109,37,,180,,,
acres,"8,382",,"2,493","16,684","18,933","5,794","2,700",(D),,"5,049",,,
50 to 69 acres  ............................................................... farms,72,,40,122,164,70,21,19,,66,,,
acres,"4,306",,"2,240","7,192","9,583","4,024","1,234","1,069",,"3,886",,,
70 to 99 acres  ............................................................... farms,126,,41,94,186,74,37,10,,47,,,
acres,"10,311",,"3,492","7,726","15,106","6,123","2,935",817,,"3,898",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,132,,48,81,131,43,53,5,,65,,,
acres,"15,409",,"5,598","9,782","15,179","4,912","6,312",(D),,"7,331",,,
140 to 179 acres  ........................................................... farms,65,,31,42,67,38,23,2,,28,,,
acres,"10,072",,"4,706","6,478","10,598","5,990","3,633",(D),,"4,312",,,
180 to 219 acres  ........................................................... farms,40,,17,24,56,14,18,-,,14,,,
acres,"7,910",,"3,396","4,747","11,082","2,713","3,543",-,,"2,745",,,
220 to 259 acres  ........................................................... farms,41,,15,15,41,10,12,1,,10,,,
acres,"9,663",,"3,651","3,555","9,750","2,379",(D),(D),,"2,410",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,93,,38,28,109,30,30,-,,35,,,
acres,"32,423",,"13,089","9,579","39,667","10,681","10,997",-,,"12,276",,,
500 to 999 acres  ........................................................... farms,20,,18,18,37,16,10,1,,6,,,
acres,"14,650",,"12,609","11,090","25,644","11,629","6,892",(D),,"3,769",,,
"1,000 to 1,999 acres ...................................................... farms",4,,3,3,12,21,2,-,,-,,,
acres,"4,969",,"4,064","4,261","18,028","28,984",(D),-,,-,,,
"2,000 acres or more  ...................................................... farms",3,,-,-,4,22,-,-,,-,,,
acres,"8,635",,-,-,"9,009","86,711",-,-,,-,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
