Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","196,573","356,483","318,951","240,227","392,233","124,711","406,258","345,145",,,,,
"Proportion in farms ...............................................percent, 2007",65,49.7,15.9,63.1,57.7,39.4,22.8,43.9,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,63,44,35,106,119,26,32,49,,,,,
acres,(D),175,164,603,653,164,189,274,,,,,
10 to 49 acres ....................................................................farms,372,205,130,304,602,133,431,279,,,,,
acres,"9,914","5,957","3,567","8,270","15,437","3,683","11,579","7,214",,,,,
50 to 69 acres ....................................................................farms,147,74,47,115,167,36,108,92,,,,,
acres,"8,666","4,227","2,797","6,793","9,602","2,050","6,229","5,306",,,,,
70 to 99 acres ....................................................................farms,104,81,45,108,193,26,98,87,,,,,
acres,"8,565","7,015","3,705","8,981","16,123","2,161","7,939","7,260",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,99,60,30,119,159,30,82,74,,,,,
acres,"11,541","6,854","3,427","13,822","18,389","3,465","9,560","8,710",,,,,
140 to 179 acres ................................................................farms,69,55,31,63,99,28,56,59,,,,,
acres,"10,726","8,636","4,748","10,030","15,413","4,508","8,590","9,245",,,,,
180 to 219 acres ................................................................farms,63,29,13,60,82,20,39,34,,,,,
acres,"12,340","5,680","2,578","11,761","16,154","3,971","7,591","6,670",,,,,
220 to 259 acres ................................................................farms,33,26,9,39,59,9,19,33,,,,,
acres,"7,845","6,290",(D),"9,218","13,945",(D),"4,564","7,874",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,80,53,38,110,141,44,48,88,,,,,
acres,"26,221","18,971","13,495","36,521","49,718","14,436","16,904","31,956",,,,,
500 to 999 acres ................................................................farms,25,44,9,42,52,13,17,50,,,,,
acres,"16,424","29,042","6,217","27,041","34,815","8,409","12,317","35,317",,,,,
"1,000 to 1,999 acres ..........................................................farms",10,18,4,9,17,1,5,10,,,,,
acres,"12,979","25,821","5,390","11,586","21,126",(D),"7,108","13,397",,,,,
"2,000 acres or more ...........................................................farms",1,17,1,3,6,1,-,7,,,,,
acres,(D),"58,422",(D),"6,957","15,029",(D),-,"18,238",,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,72,40,16,35,73,13,47,100,,,,,
acres,331,178,91,220,442,85,243,479,,,,,
10 to 49 acres ....................................................................farms,464,246,89,444,601,92,385,334,,,,,
acres,"12,105","7,165","2,242","12,236","15,703","2,607","10,396","9,090",,,,,
50 to 69 acres ....................................................................farms,199,70,30,134,206,49,133,109,,,,,
acres,"11,504","4,053","1,730","7,732","11,862","2,887","7,753","6,369",,,,,
70 to 99 acres ....................................................................farms,165,69,28,164,179,29,97,103,,,,,
acres,"13,667","5,668","2,382","13,532","14,881","2,306","8,168","8,578",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,132,66,36,169,203,42,72,106,,,,,
acres,"15,317","7,643","4,214","19,539","23,440","4,968","8,202","12,336",,,,,
140 to 179 acres ................................................................farms,69,63,18,106,125,38,76,69,,,,,
acres,"10,683","9,941","2,802","16,973","19,517","6,089","11,951","10,696",,,,,
180 to 219 acres ................................................................farms,70,35,14,63,88,11,42,61,,,,,
acres,"13,798","6,977",(D),"12,384","17,325",(D),"8,330","12,052",,,,,
220 to 259 acres ................................................................farms,36,28,9,31,67,16,28,34,,,,,
acres,"8,532","6,733","2,135","7,245","15,938","3,668","6,611","8,169",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,71,51,33,111,129,35,50,102,,,,,
acres,"25,264","18,079","11,691","37,470","44,827","12,007","17,225","35,647",,,,,
500 to 999 acres ................................................................farms,31,42,18,43,56,14,18,52,,,,,
acres,"20,800","27,963","10,955","27,432","38,880","9,236","11,957","34,617",,,,,
"1,000 to 1,999 acres ..........................................................farms",5,15,6,9,24,-,7,17,,,,,
acres,"5,476","18,774","7,722","11,283","28,839",-,"8,632","20,916",,,,,
"2,000 acres or more ...........................................................farms",3,15,1,3,3,1,-,3,,,,,
acres,"7,660","48,687",(D),"8,748","9,179",(D),-,"7,699",,,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",866,599,254,758,"1,258",288,696,687,,,,,
2002,"1,155",621,241,"1,014","1,387",300,806,945,,,,,
"acres, 2007","55,364","134,447","24,749","63,086","107,344","21,331","43,646","87,812",,,,,
2002,"73,957","120,261","26,134","84,875","123,545","23,071","56,462","102,551",,,,,
"Harvested cropland ......................................................farms, 2007",736,353,193,596,"1,000",227,546,533,,,,,
2002,952,402,200,661,992,238,666,739,,,,,
"acres, 2007","30,913","101,248","16,085","39,613","64,383","12,023","26,987","59,925",,,,,
2002,"37,434","93,071","15,945","40,385","62,144","12,074","32,228","55,288",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",348,160,94,281,458,127,265,272,,,,,
2002,711,229,147,706,903,191,535,491,,,,,
"acres, 2007","18,723","14,832","6,830","17,540","33,072","6,626","12,898","20,255",,,,,
2002,"30,044","11,418","9,497","40,629","55,516","9,379","21,256","37,901",,,,,
Item,Moore,Morgan,Obion,Overton,Perry,Pickett,Polk,,Putnam,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms ...........................................................................number, 2007",346,407,693,"1,009",257,365,305,,"1,069",,,,
2002,387,403,701,"1,106",266,401,274,,"1,302",,,,
"Land in farms .................................................................. acres, 2007","51,814","53,335","251,844","114,800","50,884","37,916","32,397",,"103,679",,,,
2002,"62,713","56,605","263,914","124,259","49,662","41,770","31,622",,"118,854",,,,
"Average size of farm ............................................... acres, 2007",150,131,363,114,198,104,106,,97,,,,
2002,162,140,376,112,187,104,115,,91,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings ................. farms, 2007",346,407,693,"1,009",257,365,305,,"1,069",,,,
2002,387,405,702,"1,111",267,399,276,,"1,297",,,,
"$1,000, 2007","170,043","154,080","642,008","372,811","107,688","131,809","151,132",,"431,367",,,,
2002,"128,127","104,719","443,312","287,048","76,743","90,511","116,559",,"335,925",,,,
"Average per farm .................................................. dollars, 2007","491,455","378,576","926,419","369,485","419,021","361,120","495,514",,"403,524",,,,
2002,"331,078","258,565","631,498","258,369","287,428","226,846","422,315",,"259,001",,,,
"Average per acre ................................................... dollars, 2007","3,282","2,889","2,549","3,247","2,116","3,476","4,665",,"4,161",,,,
2002,"2,091","2,322","1,666","2,480","1,484","2,364","4,136",,"2,979",,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 .............................................................................",9,30,107,65,23,34,9,,82,,,,
"$50,000 to $99,999 ....................................................................",28,53,129,107,19,44,24,,83,,,,
"$100,000 to $199,999 ................................................................",65,98,119,214,49,85,80,,231,,,,
"$200,000 to $499,999 ................................................................",143,128,149,380,86,115,109,,370,,,,
"$500,000 to $999,999 ................................................................",60,70,79,189,59,63,52,,225,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ..........................................................",34,23,37,38,18,20,21,,63,,,,
"$2,000,000 to $4,999,999 ..........................................................",6,4,47,16,3,3,7,,15,,,,
"$5,000,000 to $9,999,999 ..........................................................",1,1,16,-,-,1,3,,-,,,,
"$10,000,000 or more ..................................................................",-,-,10,-,-,-,-,,-,,,,
,,,,,,,,,,,,,
"Approximate land area .................................................... acres, 2007","82,674","334,106","348,622","277,361","265,533","104,247","278,424",,"256,671",,,,
"Proportion in farms ............................................... percent, 2007",62.7,16,72.2,41.4,19.2,36.4,11.6,,40.4,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,21,24,42,71,3,38,30,,97,,,,
acres,135,148,280,371,8,(D),167,,574,,,,
10 to 49 acres ................................................................... farms,88,128,231,374,52,112,123,,420,,,,
acres,"2,695","3,608","6,563","10,164","1,378","3,014","3,422",,"10,848",,,,
50 to 69 acres ................................................................... farms,29,63,67,113,16,31,26,,128,,,,
acres,"1,749","3,570","3,917","6,523",891,"1,862","1,536",,"7,248",,,,
70 to 99 acres ................................................................... farms,44,26,77,100,28,41,38,,123,,,,
acres,"3,586","2,194","6,126","8,112","2,389","3,414","3,180",,"10,308",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,54,54,40,119,31,60,31,,85,,,,
acres,"6,086","6,198","4,652","13,877","3,643","6,723","3,540",,"10,128",,,,
140 to 179 acres ............................................................... farms,25,21,41,58,33,29,14,,71,,,,
acres,"3,872","3,270","6,384","9,106","5,308","4,512","2,215",,"11,104",,,,
180 to 219 acres ............................................................... farms,11,19,29,45,19,21,6,,36,,,,
acres,"2,175","3,807","5,650","8,940","3,802","4,196","1,181",,"7,057",,,,
220 to 259 acres ............................................................... farms,14,16,11,27,12,8,9,,19,,,,
acres,(D),"3,883","2,629","6,416","2,918","1,886",(D),,"4,516",,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,44,46,50,70,43,19,22,,62,,,,
acres,"14,584","15,810","17,660","23,859","14,400","6,197","8,702",,"21,705",,,,
500 to 999 acres ............................................................... farms,12,7,35,22,14,2,4,,23,,,,
acres,"8,020","4,632","23,553","14,002","8,419",(D),"3,107",,"14,625",,,,
"1,000 to 1,999 acres .......................................................... farms",3,2,33,10,6,4,2,,5,,,,
acres,"3,520",(D),"43,453","13,430","7,728","4,777",(D),,"5,566",,,,
"2,000 acres or more .......................................................... farms",1,1,37,-,-,-,-,,-,,,,
acres,(D),(D),"130,977",-,-,-,-,,-,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,5,33,36,81,7,27,15,,115,,,,
acres,14,125,197,(D),34,114,(D),,645,,,,
10 to 49 acres ................................................................... farms,103,100,197,407,66,157,124,,526,,,,
acres,"2,854","3,043","5,122","11,608","1,649","4,745","3,646",,"14,302",,,,
50 to 69 acres ................................................................... farms,53,46,70,133,24,31,25,,166,,,,
acres,"3,085","2,674","4,110","7,710","1,420",(D),"1,483",,"9,650",,,,
70 to 99 acres ................................................................... farms,51,53,84,103,28,50,24,,138,,,,
acres,"4,327","4,405","7,027","8,356","2,282","4,248","2,045",,"11,211",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,40,60,74,122,33,45,33,,135,,,,
acres,"4,610","6,862","8,742","14,112","3,694","5,169","3,763",,"15,604",,,,
140 to 179 acres ............................................................... farms,32,25,36,74,19,30,16,,68,,,,
acres,"5,110","3,897","5,734","11,642","2,918","4,631","2,518",,"10,441",,,,
180 to 219 acres ............................................................... farms,18,28,25,44,14,16,7,,37,,,,
acres,"3,547","5,495","4,934","8,595","2,829","3,177","1,417",,"7,305",,,,
220 to 259 acres ............................................................... farms,19,5,10,41,11,9,2,,28,,,,
acres,"4,495","1,172","2,370","9,938","2,607","2,174",(D),,"6,688",,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,38,41,61,69,43,27,15,,58,,,,
acres,"12,656","14,573","22,317","24,575","14,600","8,984","5,623",,"19,851",,,,
500 to 999 acres ............................................................... farms,21,5,41,24,16,8,10,,26,,,,
acres,"13,575","3,132","29,560","15,589","11,320","5,648","6,600",,"17,110",,,,
"1,000 to 1,999 acres .......................................................... farms",7,6,37,7,5,1,3,,5,,,,
acres,"8,440",(D),"51,370","9,427","6,309",(D),"3,978",,"6,047",,,,
"2,000 acres or more .......................................................... farms",-,1,30,1,-,-,-,,-,,,,
acres,-,(D),"122,431",(D),-,-,-,,-,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland ................................................................. farms, 2007",266,324,589,806,213,286,215,,804,,,,
2002,321,347,611,931,238,358,220,,"1,100",,,,
"acres, 2007","21,201","20,551","211,745","49,748","19,414","17,573","17,780",,"41,208",,,,
2002,"31,719","25,914","219,438","67,173","18,185","23,027","18,351",,"59,970",,,,
"Harvested cropland ..................................................... farms, 2007",213,267,415,678,173,243,170,,657,,,,
2002,247,291,465,705,163,297,152,,855,,,,
"acres, 2007","11,505","12,751","190,202","30,003","9,908","9,628","10,363",,"23,163",,,,
2002,"12,986","12,854","191,962","28,622","9,767","11,272","10,110",,"27,625",,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing .................. farms, 2007",90,101,122,317,80,102,86,,270,,,,
2002,200,234,203,626,146,226,149,,713,,,,
"acres, 2007","8,337","5,161","8,393","15,832","5,585","6,990","6,029",,"13,657",,,,
2002,"17,357","11,553","16,904","33,877","6,293","10,635","6,771",,"27,983",,,,
Item,Rhea,Roane,Robertson,Rutherford,Scott,,Sequatchie,Sevier,Shelby,,,,
ARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"arms .......................................................................... number, 2007",449,580,"1,408","1,525",261,,232,707,600,,,,
2002,455,722,"1,621","2,088",296,,208,907,716,,,,
"and in farms ...................................................................acres, 2007","56,182","52,582","227,298","164,411","31,086",,"28,675","56,449","92,299",,,,
2002,"60,762","63,378","233,317","210,754","34,594",,"28,390","75,365","115,917",,,,
"Average size of farm ................................................acres, 2007",125,91,161,108,119,,124,80,154,,,,
2002,134,88,144,101,117,,136,83,162,,,,
,,,,,,,,,,,,,
"stimated market value of land and buildings .................farms, 2007",449,580,"1,408","1,525",261,,232,707,600,,,,
2002,456,722,"1,618","2,088",294,,209,909,709,,,,
"$1,000, 2007","201,939","223,462","873,544","751,867","97,513",,"97,063","312,054","429,989",,,,
2002,"154,846","195,840","588,870","672,075","70,462",,"54,032","349,276","468,529",,,,
"Average per farm ................................................... dollars, 2007","449,752","385,280","620,415","493,027","373,615",,"418,376","441,378","716,648",,,,
2002,"339,576","271,247","363,949","321,875","239,668",,"258,528","384,242","660,831",,,,
"Average per acre ................................................... dollars, 2007","3,594","4,250","3,843","4,573","3,137",,"3,385","5,528","4,659",,,,
2002,"2,705","3,568","2,548","2,959","2,024",,"2,263","3,770","3,821",,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",20,30,91,67,14,,26,38,48,,,,
"$50,000 to $99,999 .....................................................................",42,44,112,109,36,,26,71,56,,,,
"$100,000 to $199,999 .................................................................",77,119,268,318,60,,50,132,100,,,,
"$200,000 to $499,999 .................................................................",179,242,519,593,94,,69,268,226,,,,
"$500,000 to $999,999 .................................................................",87,107,252,314,40,,46,127,102,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",40,36,85,70,14,,7,62,25,,,,
"$2,000,000 to $4,999,999 ...........................................................",3,2,56,46,3,,8,7,27,,,,
"$5,000,000 to $9,999,999 ...........................................................",-,-,20,6,-,,-,1,10,,,,
"$10,000,000 or more ..................................................................",1,-,5,2,-,,-,1,6,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","202,186","231,083","304,918","396,091","340,535",,"170,142","379,066","487,765",,,,
"Proportion in farms ...............................................percent, 2007",27.8,22.8,74.5,41.5,9.1,,16.9,14.9,18.9,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,12,29,108,210,6,,33,82,101,,,,
acres,46,158,609,(D),13,,(D),468,526,,,,
10 to 49 acres ....................................................................farms,168,233,539,594,101,,83,275,248,,,,
acres,"4,295","6,166","13,824","15,096","2,942",,"2,180","7,765","6,538",,,,
50 to 69 acres ....................................................................farms,54,71,173,125,16,,21,90,59,,,,
acres,"3,105","4,108","10,080","7,109",991,,"1,195","5,258","3,305",,,,
70 to 99 acres ....................................................................farms,63,71,128,137,46,,25,68,41,,,,
acres,"5,237","5,847","10,636","10,988","3,826",,"2,141","5,633","3,473",,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,44,59,129,156,23,,23,69,39,,,,
acres,"4,999","6,655","15,261","18,310","2,634",,"2,543","7,911","4,372",,,,
140 to 179 acres ................................................................farms,22,34,64,62,20,,11,48,20,,,,
acres,"3,507","5,441","10,090","9,548","3,196",,(D),"7,377","3,098",,,,
180 to 219 acres ................................................................farms,17,27,56,52,13,,8,21,31,,,,
acres,"3,332","5,270","10,911","10,272","2,584",,"1,604","4,170","6,016",,,,
220 to 259 acres ................................................................farms,10,21,41,24,6,,2,18,14,,,,
acres,(D),"4,994","9,958","5,670","1,418",,(D),"4,298","3,242",,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,38,28,77,109,22,,15,31,16,,,,
acres,"13,065","9,160","26,216","36,683","7,703",,"5,440","10,359","5,309",,,,
500 to 999 acres ................................................................farms,19,7,42,41,8,,4,5,15,,,,
acres,"11,626","4,783","28,286","27,376","5,779",,"2,776","3,210","11,958",,,,
"1,000 to 1,999 acres ..........................................................farms",1,-,41,13,-,,7,-,8,,,,
acres,(D),-,"55,016","16,147",-,,"8,395",-,"10,560",,,,
"2,000 acres or more ...........................................................farms",1,-,10,2,-,,-,-,8,,,,
acres,(D),-,"36,411",(D),-,,-,-,"33,902",,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,13,26,147,206,15,,8,108,80,,,,
acres,60,(D),788,(D),(D),,36,(D),416,,,,
10 to 49 acres ....................................................................farms,178,320,628,834,103,,72,342,344,,,,
acres,"5,266","8,460","16,042","21,939","2,740",,"1,769","9,252","8,392",,,,
50 to 69 acres ....................................................................farms,28,86,168,185,33,,21,107,73,,,,
acres,"1,664","4,981","9,839","10,809","1,903",,"1,225","6,191","4,161",,,,
70 to 99 acres ....................................................................farms,54,94,147,245,36,,30,111,39,,,,
acres,"4,465","7,715","12,107","20,138","3,043",,"2,477","9,132","3,200",,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,49,70,148,215,19,,26,72,45,,,,
acres,"5,620","7,977","17,262","25,076","2,233",,"3,010","8,208","5,195",,,,
140 to 179 acres ................................................................farms,36,26,93,109,37,,9,55,35,,,,
acres,"5,790","4,067","14,457","17,110","5,666",,"1,350","8,565","5,613",,,,
180 to 219 acres ................................................................farms,20,35,63,74,11,,9,39,15,,,,
acres,(D),"6,957","12,451","14,665","2,174",,(D),"7,653","2,989",,,,
220 to 259 acres ................................................................farms,19,16,42,46,10,,7,24,13,,,,
acres,"4,590","3,773","9,998","10,757","2,388",,"1,750","5,804","3,055",,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,38,40,94,113,22,,13,38,25,,,,
acres,"12,841","13,318","32,070","39,246","7,358",,"4,392","12,360","8,703",,,,
500 to 999 acres ................................................................farms,15,8,56,50,8,,11,10,21,,,,
acres,"9,530","4,940","38,324","32,363","4,768",,"7,330","5,879","12,905",,,,
"1,000 to 1,999 acres ..........................................................farms",4,1,25,9,2,,2,1,15,,,,
acres,"4,899",(D),"32,489","12,715",(D),,(D),(D),"18,515",,,,
"2,000 acres or more ...........................................................farms",1,-,10,2,-,,-,-,11,,,,
acres,(D),-,"37,490",(D),-,,-,-,"42,773",,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",351,425,"1,134","1,018",221,,171,549,380,,,,
2002,397,608,"1,428","1,496",258,,178,751,504,,,,
"acres, 2007","26,491","18,795","160,059","77,912","11,977",,"12,595","22,253","68,704",,,,
2002,"32,724","27,780","168,300","106,399","14,663",,"14,237","37,876","81,110",,,,
"Harvested cropland ......................................................farms, 2007",288,345,957,793,165,,129,451,261,,,,
2002,327,483,"1,169","1,055",215,,118,599,355,,,,
"acres, 2007","15,240","11,923","125,054","52,019","6,034",,"6,361","13,790","54,635",,,,
2002,"17,578","15,027","121,444","54,981","7,103",,"6,055","16,611","62,992",,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",130,134,373,368,72,,66,180,112,,,,
2002,250,370,743,936,168,,112,498,196,,,,
"acres, 2007","8,111","4,926","19,508","18,256","3,622",,"5,231","6,582","7,086",,,,
2002,"12,415","10,652","38,955","45,025","6,999",,"7,113","18,589","8,529",,,,
Item,Smith,Stewart,Sullivan,Sumner,Tipton,Trousdale,Unicoi,,Union,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms ...........................................................................number, 2007",981,353,"1,280","1,673",610,338,86,,494,,,,
2002,"1,126",367,"1,453","1,957",627,360,166,,585,,,,
"Land in farms .................................................................. acres, 2007","127,108","55,368","82,104","183,419","170,182","44,006","4,742",,"45,917",,,,
2002,"141,380","55,464","100,513","193,386","168,776","46,609","9,278",,"47,951",,,,
"Average size of farm ............................................... acres, 2007",130,157,64,110,279,130,55,,93,,,,
2002,126,151,69,99,269,129,56,,82,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings ................. farms, 2007",981,353,"1,280","1,673",610,338,86,,494,,,,
2002,"1,124",369,"1,454","1,952",628,361,167,,582,,,,
"$1,000, 2007","400,767","150,029","418,197","741,998","400,038","142,364","34,282",,"168,227",,,,
2002,"300,604","88,688","387,136","644,032","328,100","118,862","57,569",,"120,775",,,,
"Average per farm .................................................. dollars, 2007","408,529","425,012","326,716","443,513","655,800","421,195","398,631",,"340,540",,,,
2002,"267,441","240,348","266,256","329,935","522,452","329,257","344,722",,"207,518",,,,
"Average per acre ................................................... dollars, 2007","3,153","2,710","5,094","4,045","2,351","3,235","7,230",,"3,664",,,,
2002,"2,085","2,069","3,485","3,296","1,948","2,629","6,288",,"2,687",,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 .............................................................................",75,14,147,125,69,22,13,,42,,,,
"$50,000 to $99,999 ....................................................................",104,36,162,143,82,17,9,,53,,,,
"$100,000 to $199,999 ................................................................",226,87,240,370,129,83,10,,116,,,,
"$200,000 to $499,999 ................................................................",349,127,511,608,187,129,32,,165,,,,
"$500,000 to $999,999 ................................................................",156,58,167,281,72,54,20,,94,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ..........................................................",46,19,38,100,23,27,1,,22,,,,
"$2,000,000 to $4,999,999 ..........................................................",22,12,14,34,30,5,-,,2,,,,
"$5,000,000 to $9,999,999 ..........................................................",1,-,1,12,13,1,1,,-,,,,
"$10,000,000 or more ..................................................................",2,-,-,-,5,-,-,,-,,,,
,,,,,,,,,,,,,
"Approximate land area .................................................... acres, 2007","201,225","293,518","264,332","338,771","293,996","73,098","119,128",,"143,081",,,,
"Proportion in farms ............................................... percent, 2007",63.2,18.9,31.1,54.1,57.9,60.2,4,,32.1,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,64,8,196,136,42,23,11,,43,,,,
acres,378,30,"1,010",840,242,132,(D),,241,,,,
10 to 49 acres ................................................................... farms,321,94,657,730,230,109,37,,180,,,,
acres,"8,382","2,493","16,684","18,933","5,794","2,700",(D),,"5,049",,,,
50 to 69 acres ................................................................... farms,72,40,122,164,70,21,19,,66,,,,
acres,"4,306","2,240","7,192","9,583","4,024","1,234","1,069",,"3,886",,,,
70 to 99 acres ................................................................... farms,126,41,94,186,74,37,10,,47,,,,
acres,"10,311","3,492","7,726","15,106","6,123","2,935",817,,"3,898",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,132,48,81,131,43,53,5,,65,,,,
acres,"15,409","5,598","9,782","15,179","4,912","6,312",(D),,"7,331",,,,
140 to 179 acres ............................................................... farms,65,31,42,67,38,23,2,,28,,,,
acres,"10,072","4,706","6,478","10,598","5,990","3,633",(D),,"4,312",,,,
180 to 219 acres ............................................................... farms,40,17,24,56,14,18,-,,14,,,,
acres,"7,910","3,396","4,747","11,082","2,713","3,543",-,,"2,745",,,,
220 to 259 acres ............................................................... farms,41,15,15,41,10,12,1,,10,,,,
acres,"9,663","3,651","3,555","9,750","2,379",(D),(D),,"2,410",,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,93,38,28,109,30,30,-,,35,,,,
acres,"32,423","13,089","9,579","39,667","10,681","10,997",-,,"12,276",,,,
500 to 999 acres ............................................................... farms,20,18,18,37,16,10,1,,6,,,,
acres,"14,650","12,609","11,090","25,644","11,629","6,892",(D),,"3,769",,,,
"1,000 to 1,999 acres .......................................................... farms",4,3,3,12,21,2,-,,-,,,,
acres,"4,969","4,064","4,261","18,028","28,984",(D),-,,-,,,,
"2,000 acres or more .......................................................... farms",3,-,-,4,22,-,-,,-,,,,
acres,"8,635",-,-,"9,009","86,711",-,-,,-,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,63,17,205,178,49,15,13,,22,,,,
acres,(D),62,"1,032",994,233,99,54,,121,,,,
10 to 49 acres ................................................................... farms,309,89,686,805,242,107,88,,235,,,,
acres,"8,691","2,655","17,312","21,428","6,600","2,929","2,166",,"6,573",,,,
50 to 69 acres ................................................................... farms,111,43,151,234,63,34,23,,92,,,,
acres,"6,488","2,453","8,721","13,738","3,562",(D),"1,337",,"5,313",,,,
70 to 99 acres ................................................................... farms,185,35,135,209,68,47,23,,86,,,,
acres,"15,376","2,828","10,902","17,084","5,638","3,777","1,873",,"6,910",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,159,55,90,179,53,45,11,,70,,,,
acres,"18,411","6,341","10,619","20,789","6,136","5,280",(D),,"8,034",,,,
140 to 179 acres ............................................................... farms,78,29,61,110,22,38,2,,25,,,,
acres,"12,007","4,441","9,300","17,201","3,410","5,937",(D),,"3,929",,,,
180 to 219 acres ............................................................... farms,42,22,39,58,20,18,3,,25,,,,
acres,"8,332","4,376","7,570","11,256","3,912","3,624",645,,"4,977",,,,
220 to 259 acres ............................................................... farms,56,24,17,43,15,8,-,,7,,,,
acres,"13,375","5,831","4,181","10,220","3,634",(D),-,,(D),,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,86,34,50,92,34,36,-,,16,,,,
acres,"29,004","11,774","16,876","32,142","12,340","12,441",-,,"5,206",,,,
500 to 999 acres ............................................................... farms,30,14,14,31,14,11,3,,6,,,,
acres,"19,424","9,119","8,815","21,418","10,346","7,300","1,755",,"4,047",,,,
"1,000 to 1,999 acres .......................................................... farms",6,5,5,15,26,1,-,,1,,,,
acres,"7,535","5,584","5,185","19,586","36,095",(D),-,,(D),,,,
"2,000 acres or more .......................................................... farms",1,-,-,3,21,-,-,,-,,,,
acres,(D),-,-,"7,530","76,870",-,-,,-,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland ................................................................. farms, 2007",683,252,989,"1,215",483,279,73,,411,,,,
2002,924,319,"1,280","1,686",537,313,147,,540,,,,
"acres, 2007","49,321","19,431","36,826","89,492","144,998","19,771","1,785",,"19,816",,,,
2002,"64,178","24,295","58,970","112,201","146,867","26,315","4,281",,"24,095",,,,
"Harvested cropland ..................................................... farms, 2007",541,197,841,961,332,239,58,,361,,,,
2002,675,242,"1,056","1,258",334,262,125,,435,,,,
"acres, 2007","26,301","11,666","25,314","57,295","126,867","12,901","1,102",,"10,017",,,,
2002,"28,069","11,781","29,081","63,088","128,028","12,544","2,315",,"10,542",,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing .................. farms, 2007",277,84,338,451,132,93,22,,159,,,,
2002,626,194,815,"1,036",208,204,72,,370,,,,
"acres, 2007","19,057","4,369","9,208","24,142","8,282","5,925",(D),,"8,597",,,,
2002,"32,844","10,680","26,459","41,790","9,559","12,358",(D),,"12,579",,,,
